Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,1694.050049,1703.849976,1693.109985,1698.670044,1698.670044,2813930000,1
2013-09-27,1695.52002,1695.52002,1687.109985,1691.75,1691.75,2951700000,2
2013-09-30,1687.26001,1687.26001,1674.98999,1681.550049,1681.550049,3308630000,3
2013-10-01,1682.410034,1696.550049,1682.069946,1695,1695,3238690000,4
2013-10-02,1691.900024,1693.869995,1680.339966,1693.869995,1693.869995,3148600000,5
2013-10-03,1692.349976,1692.349976,1670.359985,1678.660034,1678.660034,3279650000,6
2013-10-04,1678.790039,1691.939941,1677.329956,1690.5,1690.5,2880270000,7
2013-10-07,1687.150024,1687.150024,1674.699951,1676.119995,1676.119995,2678490000,8
2013-10-08,1676.219971,1676.790039,1655.030029,1655.449951,1655.449951,3569230000,9
2013-10-09,1656.98999,1662.469971,1646.469971,1656.400024,1656.400024,3577840000,10
2013-10-10,1660.880005,1692.560059,1660.880005,1692.560059,1692.560059,3362300000,11
2013-10-11,1691.089966,1703.439941,1688.52002,1703.199951,1703.199951,2944670000,12
2013-10-14,1699.859985,1711.030029,1692.130005,1710.140015,1710.140015,2580580000,13
2013-10-15,1709.170044,1711.569946,1695.930054,1698.060059,1698.060059,3327740000,14
2013-10-16,1700.48999,1721.76001,1700.48999,1721.540039,1721.540039,3486180000,15
2013-10-17,1720.170044,1733.449951,1714.119995,1733.150024,1733.150024,3453590000,16
2013-10-18,1736.719971,1745.310059,1735.73999,1744.5,1744.5,3664890000,17
2013-10-21,1745.199951,1747.790039,1740.670044,1744.660034,1744.660034,3052710000,18
2013-10-22,1746.47998,1759.329956,1746.47998,1754.670044,1754.670044,3850840000,19
2013-10-23,1752.27002,1752.27002,1740.5,1746.380005,1746.380005,3713380000,20
2013-10-24,1747.47998,1753.939941,1745.5,1752.069946,1752.069946,3671700000,21
2013-10-25,1756.01001,1759.819946,1752.449951,1759.77002,1759.77002,3175720000,22
2013-10-28,1759.420044,1764.98999,1757.670044,1762.109985,1762.109985,3282300000,23
2013-10-29,1762.930054,1772.089966,1762.930054,1771.949951,1771.949951,3358460000,24
2013-10-30,1772.27002,1775.219971,1757.23999,1763.310059,1763.310059,3523040000,25
2013-10-31,1763.23999,1768.530029,1755.719971,1756.540039,1756.540039,3826530000,26
2013-11-01,1758.699951,1765.670044,1752.699951,1761.640015,1761.640015,3686290000,27
